(Audit),(تدقيق)
refresh,تحديث
Refresh statuses,تحديث الحالات
refunded,مسترد
Regenerate the day rows from the start and end dates? Existing day titles are kept.,إعادة إنشاء صفوف الأيام من تاريخي البداية والنهاية؟ تُحتفظ بعناوين الأيام الحالية.
Region,المنطقة
region,المنطقة
registered,مسجّل
Registered On,تاريخ التسجيل
registration,تسجيل
Registration & Packages,التسجيل والباقات
Registration & Tickets,التسجيل والتذاكر
Registration open on website,التسجيل مفتوح على الموقع
Registrations,التسجيلات
registrations,التسجيلات
rejected,مرفوض
Rejection Reason,سبب الرفض
Relationship,صلة القرابة
relationship,صلة القرابة
Remaining,المتبقي
remaining,المتبقي
Remarks,ملاحظات
remarks,ملاحظات
reminded,تم التذكير
Rendering…,جاري العرض…
Request Details,تفاصيل الطلب
requested,مطلوب
Requested By,مقدم الطلب
Requesting Delegation,الوفد الطالب
Require reason on stage override (BR-009),يتطلب سببًا عند تجاوز المرحلة (قاعدة العمل 009)
Required,مطلوب
required,مطلوب
Requires session ticket,يتطلب تذكرة جلسة
reserved,محجوز
Resolution,الحل
resolution,الحل
resolved,محلول
Resolved At,حُل في
Resolved By,حل بواسطة
Responsible,المسؤول
responsible,المسؤول
Responsible Team,الفريق المسؤول
rest,راحة
Return Date,تاريخ العودة
Return Departure,مغادرة العودة
Return Flight,رحلة العودة
Return Ticket,تذكرة العودة
Return Ticket PDF,مستند تذكرة العودة
Review,مراجعة
review,مراجعة
Reviewed At,روجع في
Reviewed By,راجع بواسطة
Revoked,مُلغاة
revoked,ملغى الصلاحية
Revoked At,أُلغي في
Role,الدور
role,الدور
rollback,تراجع
Room #,رقم الغرفة
Room Inventory,مخزون الغرف
room_change,تغيير غرفة
Rooms,الغرف
rooms,الغرف
Route,المسار
route,المسار
routed,موجَّه
Routed To,الجهة المختصة
Rule Ref (BR-xxx),مرجع القاعدة (قاعدة العمل)
Run of Show,تسلسل العرض
Sale,الطرح للبيع
sale,الطرح للبيع
Sale End,نهاية البيع
Sale Start,بداية البيع
Sales Invoice,فاتورة مبيعات
Scan Method,طريقة المسح
Scanned / Confirmed At,وقت المسح / التأكيد
Schedule,الجدول
schedule,الجدول
scheduled,مجدول
Scheduled At,مجدول في
Scheduled Sessions,الجلسات المجدولة
Scheduling conflicts,تعارضات الجدولة
Section Title,عنوان القسم
Section Title (AR),عنوان القسم (العربية)
Secure Link,رابط آمن
Security,الأمن
security,الأمن
Security Vetting,الفحص الأمني
self_funded,ذاتي التمويل
Send Agenda PDF to All,إرسال مستند جدول الفعالية للجميع
Send Agenda to All Registered,إرسال جدول الفعالية لجميع المسجلين
Send Channel,قناة الإرسال
Send feedback survey on completion,إرسال استبيان التقييم عند الاكتمال
Send Now (email),أرسل الآن (بريد)
Send the agenda email to every registered guest of this event?,إرسال بريد جدول الفعالية لكل ضيف مسجل في هذه الفعالية؟
sending,جارٍ الإرسال
sent,مُرسل
Sent At,أُرسل في
Sent: {0} · Failed: {1},أُرسل: {0} · فشل: {1}
separate,منفصل
Serial,الرقم التسلسلي
serial,الرقم التسلسلي
Series,التسلسل
series,التسلسل
Service,خدمة
service,خدمة
Service Name,اسم الخدمة
Service Requests,طلبات الخدمة
Service Type,نوع الخدمة
service_request,طلب خدمة
services,خدمات
Session,جلسة
session,جلسة
Sessions,الجلسات
sessions,جلسات
Set the Due Date before entering times,حدد تاريخ الاستحقاق قبل إدخال الأوقات
share_erc,مشاركة الاعتماد المشترك
"Short code used in naming, e.g. GIF26",رمز قصير يُستخدم في التسمية
Show agenda,إظهار جدول الفعالية
Show hall & navigation,إظهار القاعة والتنقل
Show speakers,إظهار المتحدثين
Show track,إظهار المسار
Showing all data,عرض كل البيانات
side_event,فعالية جانبية
Single,مفردة
single,مفردة
single_day,يوم واحد
single_session,جلسة واحدة
single_table,جدول واحد
site_visit,زيارة موقع
skipped,متخطى
sms,رسائل نصية
SMS Gateway (Frappe SMS Settings used),بوابة الرسائل النصية (إعدادات النظام)
SMS Settings,إعدادات الرسائل النصية
Sold,مباع
sold,مباع
Source,المصدر
source,المصدر
Source DocType,نوع المستند المصدر
Source Type,مصدر المهمة
Speaker,متحدث
speaker,متحدث
Speakers,المتحدثون
speakers,المتحدثون
Special Needs,احتياجات خاصة
Special Needs / Accessibility,احتياجات خاصة / إمكانية الوصول
Sponsor,راعٍ
sponsor,راعٍ
sponsored,مدعوم
Sport Activity,نشاط رياضي
Sport Event,فعالية رياضية
Sport Facility,منشأة رياضية
Spouse,زوج/زوجة
spouse,زوج/زوجة
Staff,طاقم
staff,طاقم
Stage,المرحلة
stage,المرحلة
Stage → {0},المرحلة ← {0}
Standard,قياسي
standard,قياسي
Start,البداية
start,البداية
Start Date,تاريخ البداية
Started,بدأ
started,بدأ
startups,شركات ناشئة
State,الحالة
state,الحالة
Status,الحالة
status,الحالة
Subject,الموضوع
subject,الموضوع
Subject (AR),الموضوع (العربية)
Subject (EN),الموضوع (الإنجليزية)
Subject (FR),الموضوع (الفرنسية)
submitted,مقدَّم
Submitted At,قُدّم في
Subscription,اشتراك
subscription,اشتراك
Suite,جناح
suite,جناح
supplier,مورّد
Support Tickets,تذاكر الدعم
Survey Link,رابط الاستبيان
System Manager,مدير النظام
System Tools,أدوات النظام
Target stage,المرحلة المستهدفة
Task,مهمة
task,مهمة
Task (AR),المهمة (العربية)
Task Priority,أولوية المهمة
Task spans the whole day — uncheck to set a start and end time.,المهمة تستغرق اليوم كاملًا — ألغِ التحديد لتعيين وقت بداية ونهاية.
Task Subject Template,قالب موضوع المهمة
Tasks,المهام
tasks,المهام
Tasks Generated,تم توليد المهام
Team,الفريق
team,الفريق
Team notified,تم إشعار الفريق
technology,تقنية
Template,قالب
template,قالب
Template Name,اسم القالب
Terminal,صالة
terminal,صالة
Terms,الشروط
terms,الشروط
Theatre,مسرح
theatre,مسرح
This event has no sessions yet.,هذه الفعالية لا تحتوي على جلسات بعد.
This registration has no event.,هذا التسجيل غير مرتبط بفعالية.
Ticket,تذكرة
ticket,تذكرة
Ticket Name,اسم التذكرة
Ticket PDF,مستند التذكرة
Ticket Types,أنواع التذاكر
ticket_issued,صدرت التذكرة
Tickets Issued,التذاكر الصادرة
Tickets Sold,التذاكر المباعة
Tickets Used,التذاكر المستخدمة
Tier,مستوى
tier,مستوى
Time,الوقت
time,الوقت
Timeline,الجدول الزمني
timeline,الجدول الزمني
Timezone,المنطقة الزمنية
timezone,المنطقة الزمنية
Title,العنوان
title,العنوان
Title (AR),العنوان (العربية)
Title (FR),العنوان (الفرنسية)
Title / Position,المسمى / المنصب
To,إلى
to,إلى
To must be after From,يجب أن يكون «إلى» بعد «من»
Token,الرمز
token,الرمز
Total,الإجمالي
total,الإجمالي
Total Capacity,السعة الإجمالية
Total Revenue,إجمالي الإيرادات
Tourist,سائح
tourist,سائح
Tourist Visa,تأشيرة سياحية
Tournament,بطولة
tournament,بطولة
Track,المسار
track,المسار
Transit,ترانزيت
transit,ترانزيت
Transport,النقل
transport,نقل
Transport State,حالة النقل
Travel & Logistics,السفر واللوجستيات
Travel Mode,وسيلة السفر
travel_team,فريق السفر
traveling,مسافر
Trip Type,نوع الرحلة
Twin,مزدوجة
twin,مزدوجة
Type,النوع
type,النوع
U-Shape,ترتيب مفتوح من جهة
unassigned,غير مُسند
"Uncheck to hide the agenda from the guest portal, the public event page and the agenda emails.",ألغِ التحديد لإخفاء الجدول عن بوابة الضيف وصفحة الفعالية العامة ورسائل الجدول.
under_review,قيد المراجعة
Unscheduled,غير مجدول
unscheduled,غير مجدول
Urgent,عاجل
urgent,عاجل
used,مستخدم
Used At,وقت الاستخدام
Used when no individual is set,يُستخدم عند عدم تعيين فرد
User,المستخدم
user,المستخدم
usher,مرشد
Vehicle,مركبة
vehicle,مركبة
Venue,مكان الفعالية
venue,مكان
Venue Address,عنوان المكان
Venue Name,اسم المكان
Venue Name (AR),اسم المكان (العربية)
Venue → Hotel,مكان الفعالية ← الفندق
verified,موثَّق
Vetting Status,حالة الفحص
VIP,شخصية مهمة
vip,شخصية مهمة
VIP Agenda,جدول الشخصيات المهمة
VIP only,للشخصيات المهمة فقط
VIP Suite,جناح الشخصيات المهمة
vip_protocol,بروتوكول الشخصيات المهمة
Visa,تأشيرة
visa,تأشيرة
Visa & Travel,التأشيرة والسفر
Visa Expiry,انتهاء التأشيرة
Visa Pipeline,مسار التأشيرات
Visa Status,حالة التأشيرة
Visa Type,نوع التأشيرة
visa_approved,اعتُمدت التأشيرة
visa_processing,معالجة التأشيرة
visa_support,دعم التأشيرة
visa_team,فريق التأشيرات
Visas Issued,التأشيرات الصادرة
Visible to public buyers,ظاهرة للجمهور
Visitor,زائر
visitor,زائر
waiting_guest,بانتظار الضيف
Web Form,نموذج ويب
Web Page,صفحة ويب
Website Settings,إعدادات الموقع
whatsapp,واتساب
WhatsApp Number,رقم الواتساب
with_invitation,مع دعوة
Withdrawn,مسحوب
withdrawn,مسحوب
Withdrawn At,سُحب في
workshop,ورشة عمل
Youth Host / Liaison,مضيف الوفد
أُسند السائق لـ {0} — إشعار للضيف,أُسند السائق لـ {0} — إشعار للضيف
إرسال رمز التحقق,إرسال رمز التحقق لمرة واحدة
إصدار التذكرة: رقم الرحلة ومستند التذكرة مطلوبان.,إصدار التذكرة: رقم الرحلة ومستند التذكرة مطلوبان.
إصدار تصريح الدخول,إصدار رمز الدخول
اعتماد KYC,اعتماد التحقق من الهوية
اكتمال الملف,اكتمال الملف
اكتمل تسجيل دخول {0},اكتمل تسجيل دخول {0}
اكتملت مهمة نقل {0},اكتملت مهمة نقل {0}
الإعدادات الأساسية / Basic Setup,الإعدادات الأساسية
التحقق من البريد الإلكتروني والجوال,التحقق من البريد الإلكتروني والجوال
التحقق من الهوية,التحقق من الهوية
التحقق-من-الهوية,التحقق-من-الهوية
التشغيل الميداني,التشغيل الميداني
التمويل,التمويل
التنقل داخل الموقع,التنقل داخل الموقع
الحي,الحي
الرسوم والأسعار / Fees & Pricing,الرسوم والأسعار
العمليات / Operations,العمليات
العنوان التفصيلي,العنوان التفصيلي
الفئة,الفئة
الفروع والمنشآت / Branches & Facilities,الفروع والمنشآت
اللاعبون / Players,اللاعبون
المالية / Finance & Accounting,المالية والمحاسبة
المرافقون,المرافقون
المرحلة تُدار عبر محرك الرحلة فقط (تقديم / تجاوز).,المرحلة تُدار عبر محرك الرحلة فقط (تقديم / تجاوز).
الموافقة على الأغراض المطلوبة ضرورية للمتابعة (حماية البيانات الشخصية),الموافقة على الأغراض المطلوبة ضرورية للمتابعة (حماية البيانات الشخصية)
الموقع على الخريطة,الموقع على الخريطة
الوفد,الوفد
بادجات جاهزة,بطاقات الدخول جاهزة
بدون تصفية,بدون تصفية
تذكرة دعم,تذكرة دعم
تذكرة-دعم,تذكرة-دعم
تصفية حسب الفعالية,تصفية حسب الفعالية
تظهر بطاقات الدخول بعد تسجيل دخول الضيوف للفندق (قاعدة العمل 007).,تظهر بطاقات الدخول بعد تسجيل دخول الضيوف للفندق (قاعدة العمل 007).
تقييم التجربة,تقييم التجربة
تقييم-التجربة,تقييم-التجربة
تم تأكيد وصول {0},تم تأكيد وصول {0}
جدول الفعالية,جدول الفعالية
حالة KYC,حالة التحقق من الهوية
خيار الاعتماد المشترك معتمد (يظهر للمندوب),خيار الاعتماد المشترك معتمد (يظهر للمندوب)
خيار فندق الاعتماد المشترك,خيار فندق الاعتماد المشترك
رئيس الوفد,رئيس الوفد
سبب التجاوز (إلزامي للتدقيق · قاعدة العمل 009),سبب التجاوز (إلزامي للتدقيق · قاعدة العمل 009)
سحب الموافقة (حماية البيانات الشخصية),سحب الموافقة (حماية البيانات الشخصية)
سياق الفعالية,سياق الفعالية
صورة الوجه,صورة الوجه
طلب طيران,طلب طيران
طلب عرض توضيحي,طلب عرض توضيحي
طلب-طيران,طلب-طيران
طلب-عرض-توضيحي,طلب-عرض-توضيحي
عرض كل البيانات,عرض كل البيانات
قبل اعتماد KYC,قبل اعتماد التحقق من الهوية
كل الفعاليات,كل الفعاليات
لا توجد تصاريح دخول صادرة بعد,لا توجد تصاريح دخول صادرة بعد
مسح التصفية,مسح التصفية
مضيف الوفد / الارتباط,مضيف الوفد / الارتباط
موافقات حماية البيانات الشخصية,موافقات حماية البيانات الشخصية
موافقات حماية البيانات الشخصية حسب الغرض,موافقات حماية البيانات الشخصية حسب الغرض
وجّه الكاميرا نحو رمز الدخول في تطبيق الضيف,وجّه الكاميرا نحو رمز الدخول في تطبيق الضيف
